time,price,volume
10/11/14,360.8925,2531470.095
10/12/14,365.3025,2044547.29
10/13/14,379.4375,4479443.245
10/14/14,394.47,5789390.27
10/15/14,394.0925,4444845.84
10/16/14,385.835,4010227.445
10/17/14,379.3575,3170522.725
10/18/14,385.1625,1833623.48
10/19/14,389.1425,1046917.02
10/20/14,383.465,2043132.925
10/21/14,382.1,1877720.66
10/22/14,380.485,2037633.73
10/23/14,367.3175,3509381.26
10/24/14,355.79,3602517.81
10/25/14,349.98,2471900.44
10/26/14,349.095,2044166.965
10/27/14,350.01,1893855.89
10/28/14,351.285,1690807.965
10/29/14,343.4325,2136115.11
10/30/14,340.95,2769191.875
10/31/14,341.695,2414062.92
11/1/14,330.76,2277107.555
11/2/14,324.3875,1945323.225
11/3/14,325.3275,2224445.945
11/4/14,325.265,2485177.765
11/5/14,333.6175,2679014.015
11/6/14,343.14,2702311.025
11/7/14,345.3325,2615139.69
11/8/14,342.875,1421521.75
11/9/14,352.3925,2239592.215
11/10/14,365.115,4204915.3
11/11/14,366.3575,2916800.175
11/12/14,401.4975,7887804.975
11/13/14,433.02,12681463.01
11/14/14,409.355,7143330.98
11/15/14,386.67,2599299.245
11/16/14,380.3425,2755777.525
11/17/14,390.2375,5485267.69
11/18/14,382.685,5215933.205
11/19/14,381.035,3806010.075
11/20/14,369.2175,4053397.505
11/21/14,352.9,4157298.49
11/22/14,354.625,2322617.265
11/23/14,360.2725,2258487
11/24/14,373.835,4634627.94
11/25/14,380.4125,8725284.25
11/26/14,371.01,4470110.805
11/27/14,368.355,2578997.805
11/28/14,372.01,8080636.84
11/29/14,378.845,16033544.62
11/30/14,376.21,2140197.49
12/1/14,377.535,3750769.145
12/2/14,379.8725,4844779.855
12/3/14,378.9775,4486913.395
12/4/14,373.3675,4773323.655
12/5/14,373.39,5640921.865
12/6/14,376.565,2096196.19
12/7/14,375.7675,1671571.945
12/8/14,370.845,4264559.825
12/9/14,356.5775,7786727.66
12/10/14,349.8225,4781177.41
12/11/14,350.1375,9057355.06
12/12/14,350.8775,4758528.1
12/13/14,349.6375,3428380.675
12/14/14,348.4475,2170290.635
12/15/14,347.375,3884498.42
12/16/14,337.73,6519822.26
12/17/14,325.055,9948006.375
12/18/14,314.845,9496664.955
12/19/14,313.68,6580411.155
12/20/14,324.2,4899437.67
12/21/14,326.285,3383400.165
12/22/14,327.155,5865025.78
12/23/14,333.3525,4040784.82
12/24/14,328.645,3567107.6
12/25/14,320.2675,2470752.42
