"date","datetime","time","open","high","low","close","volumefrom","volumeto"
2017-08-18,2017-08-18T00:00:00Z,1503014400,5607.88,5719.55,5196.08,5426.52,527.11,2911370.03
2017-08-19,2017-08-19T00:00:00Z,1503100800,5426.52,5496.61,5119.46,5429.18,447.85,2370616.29
2017-08-20,2017-08-20T00:00:00Z,1503187200,5429.18,5449.87,5249.89,5298.76,168.58,902883.29
2017-08-21,2017-08-21T00:00:00Z,1503273600,5298.76,5395.46,5153.04,5260.04,459.26,2416699.59
2017-08-22,2017-08-22T00:00:00Z,1503360000,5260.04,5397.71,4827.86,5359.21,546.11,2790000.89
2017-08-23,2017-08-23T00:00:00Z,1503446400,5359.21,5548.07,5254.17,5393.49,354.47,1911328.24
2017-08-24,2017-08-24T00:00:00Z,1503532800,5393.49,5684.97,5347.39,5644.8,390.03,2118046.91
2017-08-25,2017-08-25T00:00:00Z,1503619200,5644.8,5749.98,5547.17,5695.6,286.17,1611634.07
2017-08-26,2017-08-26T00:00:00Z,1503705600,5695.6,5719.35,5513.65,5654.54,217.65,1225960.07
2017-08-27,2017-08-27T00:00:00Z,1503792000,5654.54,5694.2,5562.73,5620,176.44,993870.16
2017-08-28,2017-08-28T00:00:00Z,1503878400,5620,5717.54,5468.82,5717.54,403.19,2249840.63
2017-08-29,2017-08-29T00:00:00Z,1503964800,5717.54,5973.19,5460.41,5896.34,559.86,3208846.76
2017-08-30,2017-08-30T00:00:00Z,1504051200,5896.34,5955.29,5787.71,5938.9,314.9,1863256.77
2017-08-31,2017-08-31T00:00:00Z,1504137600,5938.9,6144.42,5856.96,6131.89,423,2544894.23
2017-09-01,2017-09-01T00:00:00Z,1504224000,6131.89,6288.99,5998.49,6288.94,594.77,3650202.15
2017-09-02,2017-09-02T00:00:00Z,1504310400,6288.94,6349.92,5707.07,5863.07,518.03,3141958.65
2017-09-03,2017-09-03T00:00:00Z,1504396800,5863.07,6083.66,5727.25,6018.4,364.03,2158307.54
